"Story","Title","Result","Date","Stability","Duration (s)"
"Newtours Login Functionality Feature","Login to Newtours","SUCCESS","2018-10-24T10:59:21.585-05:00[America/Bogota]","0.0","15.72"
"Newtours Login Functionality Feature","Login to Newtours Fail","FAILURE","2018-10-24T10:59:37.478-05:00[America/Bogota]","0.0","21.17"
