"Story","Title","Result","Date","Stability","Duration (s)"
"Newtours Login Functionality Feature","Login to Newtours","SUCCESS","2018-10-24T10:59:21.585-05:00[America/Bogota]","0.0","15.72"
"Newtours Register Functionality Feature","Register to Newtours","SUCCESS","2018-10-24T11:01:31.687-05:00[America/Bogota]","0.0","28.05"
